"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK-B","Jän.23","5.0","FA für Haut- und Geschlechtskrankheiten","442.0","256.0","698.0"
"ÖGK-B","Jän.23","6.0","FA für Frauenheilkunde und Geburtshilfe","662.0","831.0","1493.0"
"ÖGK-B","Jän.23","7.0","FA für Innere Medizin","905.0","309.0","1214.0"
"ÖGK-B","Jän.23","8.0","FA für Kinder- und Jugendheilkunde","144.0","244.0","388.0"
"ÖGK-B","Jän.23","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","239.0","61.0","300.0"
"ÖGK-B","Jän.23","10.0","FA für Lungenkrankheiten","14.0","15.0","29.0"
"ÖGK-B","Jän.23","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","77.0","30.0","107.0"
"ÖGK-B","Jän.23","12.0","FA für Orthopädie und orthopädische Chirurgie","869.0","305.0","1174.0"
"ÖGK-B","Jän.23","13.0","FA für Physikalische Medizin","11.0","3.0","14.0"
"ÖGK-B","Jän.23","14.0","FA für Radiologie","54.0","33.0","87.0"
"ÖGK-B","Jän.23","15.0","FA für Unfallchirurgie","162.0","41.0","203.0"
"ÖGK-B","Jän.23","16.0","FA für Urologie","227.0","135.0","362.0"
"ÖGK-B","Jän.23","18.0","FA für Neurochirurgie","26.0","6.0","32.0"
"ÖGK-B","Jän.23","19.0","FA für Neurologie","249.0","51.0","300.0"
"ÖGK-B","Jän.23","20.0","FA für Psychiatrie","113.0","119.0","232.0"
"ÖGK-B","Jän.23","21.0","FA für Plastische Chirurgie","13.0","6.0","19.0"
"ÖGK-B","Jän.23","22.0","FA für Kinderchirurgie","","",""
"ÖGK-B","Jän.23","23.0","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Jän.23","24.0","FA für Nuklearmedizin","23.0","8.0","31.0"
"ÖGK-B","Jän.23","26.0","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Jän.23","29.0","FA für Immunologie","1.0","","1.0"
"ÖGK-B","Jän.23","32.0","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Jän.23","34.0","FA für medizinische Biologie","","",""
"ÖGK-B","Jän.23","50.0","FA für medizinische und chemische Labordiagnostik","3.0","5.0","8.0"
"ÖGK-B","Jän.23","53.0","FA für Pathologie und Histologie","","2.0","2.0"
"ÖGK-B","Jän.23","55.0","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Jän.23","","Gesamt","5344.0","3207.0","8551.0"
"ÖGK-B","Feb.23","5.0","FA für Haut- und Geschlechtskrankheiten","365.0","144.0","509.0"
"ÖGK-B","Feb.23","6.0","FA für Frauenheilkunde und Geburtshilfe","472.0","526.0","998.0"
"ÖGK-B","Feb.23","7.0","FA für Innere Medizin","609.0","163.0","772.0"
"ÖGK-B","Feb.23","8.0","FA für Kinder- und Jugendheilkunde","85.0","180.0","265.0"
"ÖGK-B","Feb.23","9.0","FA für Hals-, Nasen- und Ohrenerkrankungen","148.0","42.0","190.0"
"ÖGK-B","Feb.23","10.0","FA für Lungenkrankheiten","11.0","2.0","13.0"
"ÖGK-B","Feb.23","11.0","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","62.0","23.0","85.0"
"ÖGK-B","Feb.23","12.0","FA für Orthopädie und orthopädische Chirurgie","708.0","218.0","926.0"
