"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK","Jän.23","5","FA für Haut- und Geschlechtskrankheiten","16167","14238","30405"
"ÖGK","Jän.23","6","FA für Frauenheilkunde und Geburtshilfe","30425","29366","59791"
"ÖGK","Jän.23","7","FA für Innere Medizin","17943","12602","30545"
"ÖGK","Jän.23","8","FA für Kinder- und Jugendheilkunde","10896","25493","36389"
"ÖGK","Jän.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","5991","5213","11204"
"ÖGK","Jän.23","10","FA für Lungenkrankheiten","1064","1357","2421"
"ÖGK","Jän.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1140","479","1619"
"ÖGK","Jän.23","12","FA für Orthopädie und orthopädische Chirurgie","16135","11223","27358"
"ÖGK","Jän.23","13","FA für Physikalische Medizin","1018","989","2007"
"ÖGK","Jän.23","14","FA für Radiologie","1453","860","2313"
"ÖGK","Jän.23","15","FA für Unfallchirurgie","3868","3155","7023"
"ÖGK","Jän.23","16","FA für Urologie","5327","3702","9029"
"ÖGK","Jän.23","18","FA für Neurochirurgie","913","473","1386"
"ÖGK","Jän.23","19","FA für Neurologie","4785","2442","7227"
"ÖGK","Jän.23","20","FA für Psychiatrie","8234","6256","14490"
"ÖGK","Jän.23","21","FA für Plastische Chirurgie","442","371","813"
"ÖGK","Jän.23","22","FA für Kinderchirurgie","62","140","202"
"ÖGK","Jän.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","823","424","1247"
"ÖGK","Jän.23","24","FA für Nuklearmedizin","1223","1524","2747"
"ÖGK","Jän.23","26","FA für Strahlentherapie - Radioonkologie","11","7","18"
"ÖGK","Jän.23","29","FA für Immunologie","3","20","23"
"ÖGK","Jän.23","32","FA für Kinder- und Jugendpsychiatrie","294","285","579"
"ÖGK","Jän.23","34","FA für medizinische Biologie","","",""
"ÖGK","Jän.23","50","FA für medizinische und chemische Labordiagnostik","75","74","149"
"ÖGK","Jän.23","53","FA für Pathologie und Histologie","56","51","107"
"ÖGK","Jän.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","8","14","22"
"ÖGK","Jän.23","","Gesamt","172735","163013","335748"
"ÖGK","Feb.23","5","FA für Haut- und Geschlechtskrankheiten","17428","13425","30853"
"ÖGK","Feb.23","6","FA für Frauenheilkunde und Geburtshilfe","30524","26999","57523"
"ÖGK","Feb.23","7","FA für Innere Medizin","18537","11437","29974"
"ÖGK","Feb.23","8","FA für Kinder- und Jugendheilkunde","11010","22037","33047"
"ÖGK","Feb.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","5143","5119","10262"
"ÖGK","Feb.23","10","FA für Lungenkrankheiten","964","1336","2300"
"ÖGK","Feb.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1011","519","1530"
"ÖGK","Feb.23","12","FA für Orthopädie und orthopädische Chirurgie","15523","11006","26529"
"ÖGK","Feb.23","13","FA für Physikalische Medizin","965","871","1836"
"ÖGK","Feb.23","14","FA für Radiologie","1506","715","2221"
"ÖGK","Feb.23","15","FA für Unfallchirurgie","3377","2710","6087"
"ÖGK","Feb.23","16","FA für Urologie","4845","3214","8059"
"ÖGK","Feb.23","18","FA für Neurochirurgie","917","417","1334"
"ÖGK","Feb.23","19","FA für Neurologie","4471","2188","6659"
"ÖGK","Feb.23","20","FA für Psychiatrie","7467","6252","13719"
"ÖGK","Feb.23","21","FA für Plastische Chirurgie","367","332","699"
"ÖGK","Feb.23","22","FA für Kinderchirurgie","58","125","183"
"ÖGK","Feb.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","765","451","1216"
"ÖGK","Feb.23","24","FA für Nuklearmedizin","1338","1471","2809"
"ÖGK","Feb.23","26","FA für Strahlentherapie - Radioonkologie","21","10","31"
"ÖGK","Feb.23","29","FA für Immunologie","16","21","37"
"ÖGK","Feb.23","32","FA für Kinder- und Jugendpsychiatrie","214","350","564"
"ÖGK","Feb.23","34","FA für medizinische Biologie","","",""
"ÖGK","Feb.23","50","FA für medizinische und chemische Labordiagnostik","89","66","155"
"ÖGK","Feb.23","53","FA für Pathologie und Histologie","55","32","87"
"ÖGK","Feb.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","18","10","28"
"ÖGK","Feb.23","","Gesamt","173856","149194","323050"
"ÖGK","Mär.23","5","FA für Haut- und Geschlechtskrankheiten","19956","18151","38107"
"ÖGK","Mär.23","6","FA für Frauenheilkunde und Geburtshilfe","35712","37617","73329"
"ÖGK","Mär.23","7","FA für Innere Medizin","22875","15919","38794"
"ÖGK","Mär.23","8","FA für Kinder- und Jugendheilkunde","14845","29873","44718"
"ÖGK","Mär.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","7198","6953","14151"
"ÖGK","Mär.23","10","FA für Lungenkrankheiten","1175","1643","2818"
"ÖGK","Mär.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1149","716","1865"
"ÖGK","Mär.23","12","FA für Orthopädie und orthopädische Chirurgie","18467","15020","33487"
"ÖGK","Mär.23","13","FA für Physikalische Medizin","1194","1152","2346"
"ÖGK","Mär.23","14","FA für Radiologie","2164","1092","3256"
"ÖGK","Mär.23","15","FA für Unfallchirurgie","4437","3752","8189"
"ÖGK","Mär.23","16","FA für Urologie","6055","4384","10439"
"ÖGK","Mär.23","18","FA für Neurochirurgie","1088","590","1678"
"ÖGK","Mär.23","19","FA für Neurologie","5540","3300","8840"
"ÖGK","Mär.23","20","FA für Psychiatrie","8944","8540","17484"
"ÖGK","Mär.23","21","FA für Plastische Chirurgie","430","436","866"
"ÖGK","Mär.23","22","FA für Kinderchirurgie","89","210","299"
"ÖGK","Mär.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","937","489","1426"
"ÖGK","Mär.23","24","FA für Nuklearmedizin","1396","2026","3422"
"ÖGK","Mär.23","26","FA für Strahlentherapie - Radioonkologie","31","17","48"
"ÖGK","Mär.23","29","FA für Immunologie","2","33","35"
"ÖGK","Mär.23","32","FA für Kinder- und Jugendpsychiatrie","368","505","873"
"ÖGK","Mär.23","34","FA für medizinische Biologie","","",""
"ÖGK","Mär.23","50","FA für medizinische und chemische Labordiagnostik","85","106","191"
"ÖGK","Mär.23","53","FA für Pathologie und Histologie","61","54","115"
"ÖGK","Mär.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","14","18","32"
"ÖGK","Mär.23","","Gesamt","209056","204975","414031"
"ÖGK","Apr.23","5","FA für Haut- und Geschlechtskrankheiten","16976","15852","32828"
"ÖGK","Apr.23","6","FA für Frauenheilkunde und Geburtshilfe","29603","28861","58464"
"ÖGK","Apr.23","7","FA für Innere Medizin","19030","13492","32522"
"ÖGK","Apr.23","8","FA für Kinder- und Jugendheilkunde","10696","24559","35255"
"ÖGK","Apr.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","5624","5713","11337"
"ÖGK","Apr.23","10","FA für Lungenkrankheiten","780","1315","2095"
"ÖGK","Apr.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","1031","531","1562"
"ÖGK","Apr.23","12","FA für Orthopädie und orthopädische Chirurgie","16854","12558","29412"
"ÖGK","Apr.23","13","FA für Physikalische Medizin","915","967","1882"
"ÖGK","Apr.23","14","FA für Radiologie","1902","945","2847"
"ÖGK","Apr.23","15","FA für Unfallchirurgie","3735","3343","7078"
"ÖGK","Apr.23","16","FA für Urologie","4702","3417","8119"
"ÖGK","Apr.23","18","FA für Neurochirurgie","913","506","1419"
"ÖGK","Apr.23","19","FA für Neurologie","4228","2506","6734"
"ÖGK","Apr.23","20","FA für Psychiatrie","7441","6851","14292"
"ÖGK","Apr.23","21","FA für Plastische Chirurgie","431","427","858"
"ÖGK","Apr.23","22","FA für Kinderchirurgie","87","185","272"
"ÖGK","Apr.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","915","422","1337"
"ÖGK","Apr.23","24","FA für Nuklearmedizin","1256","1805","3061"
"ÖGK","Apr.23","26","FA für Strahlentherapie - Radioonkologie","16","10","26"
"ÖGK","Apr.23","29","FA für Immunologie","12","10","22"
"ÖGK","Apr.23","32","FA für Kinder- und Jugendpsychiatrie","321","399","720"
"ÖGK","Apr.23","34","FA für medizinische Biologie","1","","1"
"ÖGK","Apr.23","50","FA für medizinische und chemische Labordiagnostik","89","64","153"
"ÖGK","Apr.23","53","FA für Pathologie und Histologie","59","35","94"
"ÖGK","Apr.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","11","6","17"
"ÖGK","Apr.23","","Gesamt","169311","167674","336985"
"ÖGK","Mai.23","5","FA für Haut- und Geschlechtskrankheiten","18141","14922","33063"
"ÖGK","Mai.23","6","FA für Frauenheilkunde und Geburtshilfe","31385","29086","60471"
"ÖGK","Mai.23","7","FA für Innere Medizin","18605","13169","31774"
"ÖGK","Mai.23","8","FA für Kinder- und Jugendheilkunde","11959","23427","35386"
"ÖGK","Mai.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","5393","5959","11352"
"ÖGK","Mai.23","10","FA für Lungenkrankheiten","979","1219","2198"
"ÖGK","Mai.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","876","494","1370"
"ÖGK","Mai.23","12","FA für Orthopädie und orthopädische Chirurgie","16718","12006","28724"
"ÖGK","Mai.23","13","FA für Physikalische Medizin","922","811","1733"
"ÖGK","Mai.23","14","FA für Radiologie","1811","947","2758"
"ÖGK","Mai.23","15","FA für Unfallchirurgie","3680","3067","6747"
"ÖGK","Mai.23","16","FA für Urologie","6112","3517","9629"
"ÖGK","Mai.23","18","FA für Neurochirurgie","852","517","1369"
"ÖGK","Mai.23","19","FA für Neurologie","4915","2297","7212"
"ÖGK","Mai.23","20","FA für Psychiatrie","7297","6621","13918"
"ÖGK","Mai.23","21","FA für Plastische Chirurgie","441","408","849"
"ÖGK","Mai.23","22","FA für Kinderchirurgie","48","180","228"
"ÖGK","Mai.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","759","447","1206"
"ÖGK","Mai.23","24","FA für Nuklearmedizin","1480","1630","3110"
"ÖGK","Mai.23","26","FA für Strahlentherapie - Radioonkologie","12","8","20"
"ÖGK","Mai.23","29","FA für Immunologie","30","25","55"
"ÖGK","Mai.23","32","FA für Kinder- und Jugendpsychiatrie","328","289","617"
"ÖGK","Mai.23","34","FA für medizinische Biologie","","",""
"ÖGK","Mai.23","50","FA für medizinische und chemische Labordiagnostik","87","69","156"
"ÖGK","Mai.23","53","FA für Pathologie und Histologie","45","26","71"
"ÖGK","Mai.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","13","14","27"
"ÖGK","Mai.23","","Gesamt","178491","162901","341392"
"ÖGK","Jun.23","5","FA für Haut- und Geschlechtskrankheiten","20139","16808","36947"
"ÖGK","Jun.23","6","FA für Frauenheilkunde und Geburtshilfe","32210","35299","67509"
"ÖGK","Jun.23","7","FA für Innere Medizin","22405","14868","37273"
"ÖGK","Jun.23","8","FA für Kinder- und Jugendheilkunde","12582","24804","37386"
"ÖGK","Jun.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","7104","6436","13540"
"ÖGK","Jun.23","10","FA für Lungenkrankheiten","1003","1562","2565"
"ÖGK","Jun.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","958","445","1403"
"ÖGK","Jun.23","12","FA für Orthopädie und orthopädische Chirurgie","19709","13566","33275"
"ÖGK","Jun.23","13","FA für Physikalische Medizin","1108","934","2042"
"ÖGK","Jun.23","14","FA für Radiologie","2021","979","3000"
"ÖGK","Jun.23","15","FA für Unfallchirurgie","4063","3100","7163"
"ÖGK","Jun.23","16","FA für Urologie","6403","3980","10383"
"ÖGK","Jun.23","18","FA für Neurochirurgie","1006","516","1522"
"ÖGK","Jun.23","19","FA für Neurologie","5527","2864","8391"
"ÖGK","Jun.23","20","FA für Psychiatrie","8316","7219","15535"
"ÖGK","Jun.23","21","FA für Plastische Chirurgie","543","402","945"
"ÖGK","Jun.23","22","FA für Kinderchirurgie","72","165","237"
"ÖGK","Jun.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","751","384","1135"
"ÖGK","Jun.23","24","FA für Nuklearmedizin","1739","1743","3482"
"ÖGK","Jun.23","26","FA für Strahlentherapie - Radioonkologie","20","10","30"
"ÖGK","Jun.23","29","FA für Immunologie","16","18","34"
