"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK-B","Jän.23","5","FA für Haut- und Geschlechtskrankheiten","324","289","613"
"ÖGK-B","Jän.23","6","FA für Frauenheilkunde und Geburtshilfe","719","1012","1731"
"ÖGK-B","Jän.23","7","FA für Innere Medizin","942","339","1281"
"ÖGK-B","Jän.23","8","FA für Kinder- und Jugendheilkunde","172","297","469"
"ÖGK-B","Jän.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","232","66","298"
"ÖGK-B","Jän.23","10","FA für Lungenkrankheiten","14","16","30"
"ÖGK-B","Jän.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","91","33","124"
"ÖGK-B","Jän.23","12","FA für Orthopädie und orthopädische Chirurgie","944","353","1297"
"ÖGK-B","Jän.23","13","FA für Physikalische Medizin","14","3","17"
"ÖGK-B","Jän.23","14","FA für Radiologie","62","34","96"
"ÖGK-B","Jän.23","15","FA für Unfallchirurgie","188","47","235"
"ÖGK-B","Jän.23","16","FA für Urologie","207","167","374"
"ÖGK-B","Jän.23","18","FA für Neurochirurgie","30","8","38"
"ÖGK-B","Jän.23","19","FA für Neurologie","269","55","324"
"ÖGK-B","Jän.23","20","FA für Psychiatrie","166","124","290"
"ÖGK-B","Jän.23","21","FA für Plastische Chirurgie","14","6","20"
"ÖGK-B","Jän.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Jän.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Jän.23","24","FA für Nuklearmedizin","27","8","35"
"ÖGK-B","Jän.23","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Jän.23","29","FA für Immunologie","1","","1"
"ÖGK-B","Jän.23","32","FA für Kinder- und Jugendpsychiatrie","1","","1"
"ÖGK-B","Jän.23","34","FA für medizinische Biologie","","",""
"ÖGK-B","Jän.23","50","FA für medizinische und chemische Labordiagnostik","3","5","8"
"ÖGK-B","Jän.23","53","FA für Pathologie und Histologie","","2","2"
"ÖGK-B","Jän.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Jän.23","","Gesamt","5583","3848","9431"
"ÖGK-B","Feb.23","5","FA für Haut- und Geschlechtskrankheiten","379","148","527"
"ÖGK-B","Feb.23","6","FA für Frauenheilkunde und Geburtshilfe","499","853","1352"
"ÖGK-B","Feb.23","7","FA für Innere Medizin","599","217","816"
"ÖGK-B","Feb.23","8","FA für Kinder- und Jugendheilkunde","87","164","251"
"ÖGK-B","Feb.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","152","46","198"
"ÖGK-B","Feb.23","10","FA für Lungenkrankheiten","11","5","16"
"ÖGK-B","Feb.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","62","22","84"
"ÖGK-B","Feb.23","12","FA für Orthopädie und orthopädische Chirurgie","690","240","930"
"ÖGK-B","Feb.23","13","FA für Physikalische Medizin","4","1","5"
"ÖGK-B","Feb.23","14","FA für Radiologie","47","14","61"
"ÖGK-B","Feb.23","15","FA für Unfallchirurgie","134","31","165"
"ÖGK-B","Feb.23","16","FA für Urologie","103","105","208"
"ÖGK-B","Feb.23","18","FA für Neurochirurgie","14","11","25"
"ÖGK-B","Feb.23","19","FA für Neurologie","130","39","169"
"ÖGK-B","Feb.23","20","FA für Psychiatrie","118","114","232"
"ÖGK-B","Feb.23","21","FA für Plastische Chirurgie","11","2","13"
"ÖGK-B","Feb.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Feb.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Feb.23","24","FA für Nuklearmedizin","10","13","23"
"ÖGK-B","Feb.23","26","FA für Strahlentherapie - Radioonkologie","2","2","4"
"ÖGK-B","Feb.23","29","FA für Immunologie","","",""
"ÖGK-B","Feb.23","32","FA für Kinder- und Jugendpsychiatrie","2","","2"
"ÖGK-B","Feb.23","34","FA für medizinische Biologie","","",""
"ÖGK-B","Feb.23","50","FA für medizinische und chemische Labordiagnostik","3","1","4"
"ÖGK-B","Feb.23","53","FA für Pathologie und Histologie","1","1","2"
"ÖGK-B","Feb.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","1","1"
"ÖGK-B","Feb.23","","Gesamt","3843","2721","6564"
"ÖGK-B","Mär.23","5","FA für Haut- und Geschlechtskrankheiten","597","405","1002"
"ÖGK-B","Mär.23","6","FA für Frauenheilkunde und Geburtshilfe","736","1255","1991"
"ÖGK-B","Mär.23","7","FA für Innere Medizin","858","461","1319"
"ÖGK-B","Mär.23","8","FA für Kinder- und Jugendheilkunde","199","337","536"
"ÖGK-B","Mär.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","343","104","447"
"ÖGK-B","Mär.23","10","FA für Lungenkrankheiten","20","8","28"
"ÖGK-B","Mär.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","94","37","131"
"ÖGK-B","Mär.23","12","FA für Orthopädie und orthopädische Chirurgie","1026","472","1498"
"ÖGK-B","Mär.23","13","FA für Physikalische Medizin","15","7","22"
"ÖGK-B","Mär.23","14","FA für Radiologie","80","42","122"
"ÖGK-B","Mär.23","15","FA für Unfallchirurgie","198","58","256"
"ÖGK-B","Mär.23","16","FA für Urologie","347","185","532"
"ÖGK-B","Mär.23","18","FA für Neurochirurgie","25","5","30"
"ÖGK-B","Mär.23","19","FA für Neurologie","270","70","340"
"ÖGK-B","Mär.23","20","FA für Psychiatrie","137","181","318"
"ÖGK-B","Mär.23","21","FA für Plastische Chirurgie","14","10","24"
"ÖGK-B","Mär.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Mär.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Mär.23","24","FA für Nuklearmedizin","25","17","42"
"ÖGK-B","Mär.23","26","FA für Strahlentherapie - Radioonkologie","6","","6"
"ÖGK-B","Mär.23","29","FA für Immunologie","","3","3"
"ÖGK-B","Mär.23","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Mär.23","34","FA für medizinische Biologie","","",""
"ÖGK-B","Mär.23","50","FA für medizinische und chemische Labordiagnostik","3","","3"
"ÖGK-B","Mär.23","53","FA für Pathologie und Histologie","","2","2"
"ÖGK-B","Mär.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Mär.23","","Gesamt","6420","4881","11301"
"ÖGK-B","Apr.23","5","FA für Haut- und Geschlechtskrankheiten","467","135","602"
"ÖGK-B","Apr.23","6","FA für Frauenheilkunde und Geburtshilfe","601","925","1526"
"ÖGK-B","Apr.23","7","FA für Innere Medizin","642","153","795"
"ÖGK-B","Apr.23","8","FA für Kinder- und Jugendheilkunde","96","92","188"
"ÖGK-B","Apr.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","172","22","194"
"ÖGK-B","Apr.23","10","FA für Lungenkrankheiten","6","6","12"
"ÖGK-B","Apr.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","37","8","45"
"ÖGK-B","Apr.23","12","FA für Orthopädie und orthopädische Chirurgie","814","131","945"
"ÖGK-B","Apr.23","13","FA für Physikalische Medizin","2","8","10"
"ÖGK-B","Apr.23","14","FA für Radiologie","55","8","63"
"ÖGK-B","Apr.23","15","FA für Unfallchirurgie","165","15","180"
"ÖGK-B","Apr.23","16","FA für Urologie","123","117","240"
"ÖGK-B","Apr.23","18","FA für Neurochirurgie","23","2","25"
"ÖGK-B","Apr.23","19","FA für Neurologie","210","34","244"
"ÖGK-B","Apr.23","20","FA für Psychiatrie","93","99","192"
"ÖGK-B","Apr.23","21","FA für Plastische Chirurgie","7","4","11"
"ÖGK-B","Apr.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Apr.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Apr.23","24","FA für Nuklearmedizin","13","5","18"
"ÖGK-B","Apr.23","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Apr.23","29","FA für Immunologie","","",""
"ÖGK-B","Apr.23","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Apr.23","34","FA für medizinische Biologie","","",""
"ÖGK-B","Apr.23","50","FA für medizinische und chemische Labordiagnostik","3","","3"
"ÖGK-B","Apr.23","53","FA für Pathologie und Histologie","","",""
"ÖGK-B","Apr.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","1","","1"
"ÖGK-B","Apr.23","","Gesamt","4309","2278","6587"
"ÖGK-B","Mai.23","5","FA für Haut- und Geschlechtskrankheiten","593","189","782"
"ÖGK-B","Mai.23","6","FA für Frauenheilkunde und Geburtshilfe","874","1094","1968"
"ÖGK-B","Mai.23","7","FA für Innere Medizin","989","217","1206"
"ÖGK-B","Mai.23","8","FA für Kinder- und Jugendheilkunde","218","201","419"
"ÖGK-B","Mai.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","348","44","392"
"ÖGK-B","Mai.23","10","FA für Lungenkrankheiten","25","9","34"
"ÖGK-B","Mai.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","78","12","90"
"ÖGK-B","Mai.23","12","FA für Orthopädie und orthopädische Chirurgie","1187","207","1394"
"ÖGK-B","Mai.23","13","FA für Physikalische Medizin","15","","15"
"ÖGK-B","Mai.23","14","FA für Radiologie","70","10","80"
"ÖGK-B","Mai.23","15","FA für Unfallchirurgie","230","11","241"
"ÖGK-B","Mai.23","16","FA für Urologie","448","120","568"
"ÖGK-B","Mai.23","18","FA für Neurochirurgie","24","","24"
"ÖGK-B","Mai.23","19","FA für Neurologie","338","47","385"
"ÖGK-B","Mai.23","20","FA für Psychiatrie","130","122","252"
"ÖGK-B","Mai.23","21","FA für Plastische Chirurgie","14","6","20"
"ÖGK-B","Mai.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Mai.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Mai.23","24","FA für Nuklearmedizin","17","7","24"
"ÖGK-B","Mai.23","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Mai.23","29","FA für Immunologie","4","","4"
"ÖGK-B","Mai.23","32","FA für Kinder- und Jugendpsychiatrie","1","","1"
