"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK-B","Jän.23","1","Arzt für Allgemeinmedizin","385","350","735"
"ÖGK-B","Jän.23","2","FA für Anästhesiologie und Intensivmedizin","5","2","7"
"ÖGK-B","Jän.23","3","FA für Augenheilkunde und Optometrie","586","361","947"
"ÖGK-B","Jän.23","4","FA für Chirurgie","134","34","168"
"ÖGK-B","Jän.23","5","FA für Haut- und Geschlechtskrankheiten","442","256","698"
"ÖGK-B","Jän.23","6","FA für Frauenheilkunde und Geburtshilfe","662","831","1493"
"ÖGK-B","Jän.23","7","FA für Innere Medizin","905","309","1214"
"ÖGK-B","Jän.23","8","FA für Kinder- und Jugendheilkunde","144","244","388"
"ÖGK-B","Jän.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","239","61","300"
"ÖGK-B","Jän.23","10","FA für Lungenkrankheiten","14","15","29"
"ÖGK-B","Jän.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","77","30","107"
"ÖGK-B","Jän.23","12","FA für Orthopädie und orthopädische Chirurgie","869","305","1174"
"ÖGK-B","Jän.23","13","FA für Physikalische Medizin","11","3","14"
"ÖGK-B","Jän.23","14","FA für Radiologie","54","33","87"
"ÖGK-B","Jän.23","15","FA für Unfallchirurgie","162","41","203"
"ÖGK-B","Jän.23","16","FA für Urologie","227","135","362"
"ÖGK-B","Jän.23","18","FA für Neurochirurgie","26","6","32"
"ÖGK-B","Jän.23","19","FA für Neurologie","249","51","300"
"ÖGK-B","Jän.23","20","FA für Psychiatrie","113","119","232"
"ÖGK-B","Jän.23","21","FA für Plastische Chirurgie","13","6","19"
"ÖGK-B","Jän.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Jän.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Jän.23","24","FA für Nuklearmedizin","23","8","31"
"ÖGK-B","Jän.23","26","FA für Strahlentherapie - Radioonkologie","","",""
"ÖGK-B","Jän.23","29","FA für Immunologie","1","","1"
"ÖGK-B","Jän.23","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Jän.23","34","FA für medizinische Biologie","","",""
"ÖGK-B","Jän.23","50","FA für medizinische und chemische Labordiagnostik","3","5","8"
"ÖGK-B","Jän.23","53","FA für Pathologie und Histologie","","2","2"
"ÖGK-B","Jän.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","",""
"ÖGK-B","Jän.23","","Gesamt","5344","3207","8551"
"ÖGK-B","Feb.23","1","Arzt für Allgemeinmedizin","321","265","586"
"ÖGK-B","Feb.23","2","FA für Anästhesiologie und Intensivmedizin","3","","3"
"ÖGK-B","Feb.23","3","FA für Augenheilkunde und Optometrie","345","262","607"
"ÖGK-B","Feb.23","4","FA für Chirurgie","87","36","123"
"ÖGK-B","Feb.23","5","FA für Haut- und Geschlechtskrankheiten","365","144","509"
"ÖGK-B","Feb.23","6","FA für Frauenheilkunde und Geburtshilfe","472","526","998"
"ÖGK-B","Feb.23","7","FA für Innere Medizin","609","163","772"
"ÖGK-B","Feb.23","8","FA für Kinder- und Jugendheilkunde","85","180","265"
"ÖGK-B","Feb.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","148","42","190"
"ÖGK-B","Feb.23","10","FA für Lungenkrankheiten","11","2","13"
"ÖGK-B","Feb.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","62","23","85"
"ÖGK-B","Feb.23","12","FA für Orthopädie und orthopädische Chirurgie","708","218","926"
"ÖGK-B","Feb.23","13","FA für Physikalische Medizin","8","1","9"
"ÖGK-B","Feb.23","14","FA für Radiologie","40","14","54"
"ÖGK-B","Feb.23","15","FA für Unfallchirurgie","145","33","178"
"ÖGK-B","Feb.23","16","FA für Urologie","106","78","184"
"ÖGK-B","Feb.23","18","FA für Neurochirurgie","16","12","28"
"ÖGK-B","Feb.23","19","FA für Neurologie","135","31","166"
"ÖGK-B","Feb.23","20","FA für Psychiatrie","162","91","253"
"ÖGK-B","Feb.23","21","FA für Plastische Chirurgie","12","2","14"
"ÖGK-B","Feb.23","22","FA für Kinderchirurgie","","",""
"ÖGK-B","Feb.23","23","FA für Mund., Kiefer- und Gesichtschirurgie","","",""
"ÖGK-B","Feb.23","24","FA für Nuklearmedizin","7","12","19"
"ÖGK-B","Feb.23","26","FA für Strahlentherapie - Radioonkologie","","2","2"
"ÖGK-B","Feb.23","29","FA für Immunologie","","",""
"ÖGK-B","Feb.23","32","FA für Kinder- und Jugendpsychiatrie","","",""
"ÖGK-B","Feb.23","34","FA für medizinische Biologie","","",""
"ÖGK-B","Feb.23","50","FA für medizinische und chemische Labordiagnostik","3","1","4"
"ÖGK-B","Feb.23","53","FA für Pathologie und Histologie","1","1","2"
"ÖGK-B","Feb.23","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","","1","1"
"ÖGK-B","Feb.23","","Gesamt","3851","2140","5991"
"ÖGK-B","Mär.23","1","Arzt für Allgemeinmedizin","593","553","1146"
"ÖGK-B","Mär.23","2","FA für Anästhesiologie und Intensivmedizin","3","","3"
"ÖGK-B","Mär.23","3","FA für Augenheilkunde und Optometrie","684","784","1468"
"ÖGK-B","Mär.23","4","FA für Chirurgie","119","52","171"
"ÖGK-B","Mär.23","5","FA für Haut- und Geschlechtskrankheiten","581","412","993"
"ÖGK-B","Mär.23","6","FA für Frauenheilkunde und Geburtshilfe","704","1568","2272"
"ÖGK-B","Mär.23","7","FA für Innere Medizin","843","497","1340"
"ÖGK-B","Mär.23","8","FA für Kinder- und Jugendheilkunde","172","375","547"
"ÖGK-B","Mär.23","9","FA für Hals-, Nasen- und Ohrenerkrankungen","353","110","463"
"ÖGK-B","Mär.23","10","FA für Lungenkrankheiten","17","11","28"
"ÖGK-B","Mär.23","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","91","38","129"
"ÖGK-B","Mär.23","12","FA für Orthopädie und orthopädische Chirurgie","947","505","1452"
"ÖGK-B","Mär.23","13","FA für Physikalische Medizin","13","6","19"
"ÖGK-B","Mär.23","14","FA für Radiologie","75","42","117"
