"ÖGK-LS","Monat.Jahr","FG-Code","Fachrichtung","postal","online","Gesamt"
"ÖGK","Jän.21","1","Arzt für Allgemeinmedizin","42413","27146","69559"
"ÖGK","Jän.21","2","FA für Anästhesiologie und Intensivmedizin","490","194","684"
"ÖGK","Jän.21","3","FA für Augenheilkunde und Optometrie","13858","6303","20161"
"ÖGK","Jän.21","4","FA für Chirurgie","4406","1792","6198"
"ÖGK","Jän.21","5","FA für Haut- und Geschlechtskrankheiten","15627","7877","23504"
"ÖGK","Jän.21","6","FA für Frauenheilkunde und Geburtshilfe","33092","15980","49072"
"ÖGK","Jän.21","7","FA für Innere Medizin","17025","6086","23111"
"ÖGK","Jän.21","8","FA für Kinder- und Jugendheilkunde","8396","12038","20434"
"ÖGK","Jän.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","3484","2201","5685"
"ÖGK","Jän.21","10","FA für Lungenkrankheiten","697","434","1131"
"ÖGK","Jän.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","3488","2066","5554"
"ÖGK","Jän.21","12","FA für Orthopädie und orthopädische Chirurgie","10467","5381","15848"
"ÖGK","Jän.21","13","FA für Physikalische Medizin","513","423","936"
"ÖGK","Jän.21","14","FA für Radiologie","1456","605","2061"
"ÖGK","Jän.21","15","FA für Unfallchirurgie","3650","1625","5275"
"ÖGK","Jän.21","16","FA für Urologie","4223","1646","5869"
"ÖGK","Jän.21","18","FA für Neurochirurgie","716","227","943"
"ÖGK","Jän.21","19","FA für Neurologie","2729","1196","3925"
"ÖGK","Jän.21","20","FA für Psychiatrie","3477","2365","5842"
"ÖGK","Jän.21","21","FA für Plastische Chirurgie","242","172","414"
"ÖGK","Jän.21","22","FA für Kinderchirurgie","39","114","153"
"ÖGK","Jän.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","383","64","447"
"ÖGK","Jän.21","24","FA für Nuklearmedizin","611","326","937"
"ÖGK","Jän.21","26","FA für Strahlentherapie - Radioonkologie","4","1","5"
"ÖGK","Jän.21","29","FA für Immunologie","3","13","16"
"ÖGK","Jän.21","32","FA für Kinder- und Jugendpsychiatrie","241","237","478"
"ÖGK","Jän.21","34","FA für medizinische Biologie","","",""
"ÖGK","Jän.21","50","FA für medizinische und chemische Labordiagnostik","102","166","268"
"ÖGK","Jän.21","53","FA für Pathologie und Histologie","43","22","65"
"ÖGK","Jän.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","31","12","43"
"ÖGK","Jän.21","","Gesamt","171906","96712","268618"
"ÖGK","Feb.21","1","Arzt für Allgemeinmedizin","53867","20892","74759"
"ÖGK","Feb.21","2","FA für Anästhesiologie und Intensivmedizin","567","129","696"
"ÖGK","Feb.21","3","FA für Augenheilkunde und Optometrie","20583","5726","26309"
"ÖGK","Feb.21","4","FA für Chirurgie","6146","1537","7683"
"ÖGK","Feb.21","5","FA für Haut- und Geschlechtskrankheiten","21988","6655","28643"
"ÖGK","Feb.21","6","FA für Frauenheilkunde und Geburtshilfe","44197","13851","58048"
"ÖGK","Feb.21","7","FA für Innere Medizin","23227","4978","28205"
"ÖGK","Feb.21","8","FA für Kinder- und Jugendheilkunde","14331","8646","22977"
"ÖGK","Feb.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","5115","1779","6894"
"ÖGK","Feb.21","10","FA für Lungenkrankheiten","3879","2125","6004"
"ÖGK","Feb.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","4978","1424","6402"
"ÖGK","Feb.21","12","FA für Orthopädie und orthopädische Chirurgie","15643","4132","19775"
"ÖGK","Feb.21","13","FA für Physikalische Medizin","698","221","919"
"ÖGK","Feb.21","14","FA für Radiologie","1568","504","2072"
"ÖGK","Feb.21","15","FA für Unfallchirurgie","4526","1273","5799"
"ÖGK","Feb.21","16","FA für Urologie","6110","1285","7395"
"ÖGK","Feb.21","18","FA für Neurochirurgie","867","188","1055"
"ÖGK","Feb.21","19","FA für Neurologie","3981","1031","5012"
"ÖGK","Feb.21","20","FA für Psychiatrie","4585","1834","6419"
"ÖGK","Feb.21","21","FA für Plastische Chirurgie","266","130","396"
"ÖGK","Feb.21","22","FA für Kinderchirurgie","80","97","177"
"ÖGK","Feb.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","426","85","511"
"ÖGK","Feb.21","24","FA für Nuklearmedizin","798","236","1034"
"ÖGK","Feb.21","26","FA für Strahlentherapie - Radioonkologie","27","7","34"
"ÖGK","Feb.21","29","FA für Immunologie","2","3","5"
"ÖGK","Feb.21","32","FA für Kinder- und Jugendpsychiatrie","287","153","440"
"ÖGK","Feb.21","34","FA für medizinische Biologie","","",""
"ÖGK","Feb.21","50","FA für medizinische und chemische Labordiagnostik","144","135","279"
"ÖGK","Feb.21","53","FA für Pathologie und Histologie","53","20","73"
"ÖGK","Feb.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","51","11","62"
"ÖGK","Feb.21","","Gesamt","238990","79087","318077"
"ÖGK","Mär.21","1","Arzt für Allgemeinmedizin","64025","26399","90424"
"ÖGK","Mär.21","2","FA für Anästhesiologie und Intensivmedizin","572","167","739"
"ÖGK","Mär.21","3","FA für Augenheilkunde und Optometrie","25008","7350","32358"
"ÖGK","Mär.21","4","FA für Chirurgie","7370","1971","9341"
"ÖGK","Mär.21","5","FA für Haut- und Geschlechtskrankheiten","26267","8754","35021"
"ÖGK","Mär.21","6","FA für Frauenheilkunde und Geburtshilfe","51976","17465","69441"
"ÖGK","Mär.21","7","FA für Innere Medizin","27913","6432","34345"
"ÖGK","Mär.21","8","FA für Kinder- und Jugendheilkunde","14087","10739","24826"
"ÖGK","Mär.21","9","FA für Hals-, Nasen- und Ohrenerkrankungen","5979","2336","8315"
"ÖGK","Mär.21","10","FA für Lungenkrankheiten","1908","869","2777"
"ÖGK","Mär.21","11","FA für Neurologie und Psychiatrie/ Psychiatrie und Neurologie","6055","1736","7791"
"ÖGK","Mär.21","12","FA für Orthopädie und orthopädische Chirurgie","20039","5345","25384"
"ÖGK","Mär.21","13","FA für Physikalische Medizin","803","340","1143"
"ÖGK","Mär.21","14","FA für Radiologie","2289","619","2908"
"ÖGK","Mär.21","15","FA für Unfallchirurgie","5157","1672","6829"
"ÖGK","Mär.21","16","FA für Urologie","7715","1760","9475"
"ÖGK","Mär.21","18","FA für Neurochirurgie","1046","255","1301"
"ÖGK","Mär.21","19","FA für Neurologie","4365","1139","5504"
"ÖGK","Mär.21","20","FA für Psychiatrie","5157","2235","7392"
"ÖGK","Mär.21","21","FA für Plastische Chirurgie","417","186","603"
"ÖGK","Mär.21","22","FA für Kinderchirurgie","107","100","207"
"ÖGK","Mär.21","23","FA für Mund., Kiefer- und Gesichtschirurgie","676","93","769"
"ÖGK","Mär.21","24","FA für Nuklearmedizin","800","309","1109"
"ÖGK","Mär.21","26","FA für Strahlentherapie - Radioonkologie","20","1","21"
"ÖGK","Mär.21","29","FA für Immunologie","8","13","21"
"ÖGK","Mär.21","32","FA für Kinder- und Jugendpsychiatrie","468","170","638"
"ÖGK","Mär.21","34","FA für medizinische Biologie","","",""
"ÖGK","Mär.21","50","FA für medizinische und chemische Labordiagnostik","197","218","415"
"ÖGK","Mär.21","53","FA für Pathologie und Histologie","55","29","84"
"ÖGK","Mär.21","55","FA für Hygiene und Mikrobiologie bzw. Labordiagnostik","42","21","63"
